,strategy,gov_policy,latent,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
111,S4,symptom_based_TTI,4,0.8962782184258694,3.8615009151921904,900.972,122.364,89.568,3179.136,75.94800000000001,39.024,14.927999999999999,4.368
112,S4,test_based_TTI,1,1.0568504546503235,3.7727532913566115,90.768,14.1,89.244,1860.2640000000001,79.092,39.635999999999996,14.958113034980595,2.342074033730014
113,S4,test_based_TTI,1,0.9518116138286661,3.8552552552552553,90.804,11.940000000000001,89.28,1853.0639999999999,77.028,39.900000000000006,15.899772430440937,2.211031525262314
114,S4,test_based_TTI,2,1.0432863902527956,4.050691244239632,105.624,14.772,89.136,2042.952,84.384,41.412,17.318019864555385,3.9202380536983883
115,S4,test_based_TTI,2,0.9484205114667992,3.743512371756186,100.776,13.968,89.05199999999999,1973.232,74.43599999999999,36.48,15.90540142385456,3.1922051261396143
116,S4,test_based_TTI,3,1.0326763230549378,3.9273743016759775,86.172,10.608,89.916,1796.256,75.924,37.248000000000005,14.892,3.820301322701985
117,S4,test_based_TTI,3,0.8605922762099438,3.689718482252142,92.50800000000001,14.459999999999999,89.34,1890.1680000000001,72.348,36.396,15.011999999999999,4.065506648075453
118,S4,test_based_TTI,4,0.9403381213093371,3.727932285368803,96.732,14.964,89.448,1937.736,73.992,34.128,16.428,4.772168968252298
119,S4,test_based_TTI,4,0.9563332158322183,4.052878965922444,102.78,14.292,88.272,2008.896,82.776,41.304,16.764,5.17585039984281
120,S4,test_based_TTI_test_contacts,1,0.9597486893993397,3.6462205700123915,85.272,11.424000000000001,157.88400000000001,959.616,70.62,35.568,14.129201236712719,2.3343861470008678
121,S4,test_based_TTI_test_contacts,1,1.0173787128945833,3.9975594874923734,114.324,13.908000000000001,180.9,1036.824,78.624,37.776,18.013602117673596,2.8245933571157327
122,S4,test_based_TTI_test_contacts,2,1.0546833198157897,3.955069124423963,108.288,14.556000000000001,173.56799999999998,1020.984,82.392,38.628,17.964892678122332,3.827944403475137
123,S4,test_based_TTI_test_contacts,2,0.9907853607574699,3.9043683589138136,100.236,12.444,168.52800000000002,999.7199999999999,79.368,38.568000000000005,16.95689267812233,3.702422508399833
124,S4,test_based_TTI_test_contacts,3,1.0597664176834982,3.9195331695331697,111.372,17.136000000000003,177.444,1001.064,76.572,33.660000000000004,17.748,4.460403264135226
125,S4,test_based_TTI_test_contacts,3,0.9630435691679782,3.789895255699322,91.212,12.276,161.4,982.8240000000001,73.812,36.048,15.108,3.8997634468844984
126,S4,test_based_TTI_test_contacts,4,0.9030468114888104,3.7559926244622,91.644,15.996,161.292,962.832,73.332,35.904,15.467999999999998,4.328914052492494
127,S4,test_based_TTI_test_contacts,4,0.944342380406548,3.972875226039783,102.20400000000001,18.228,170.64,1034.088,79.092,37.248000000000005,17.868000000000002,5.176031890866478
128,S5,no_TTI,1,0.8118718224584652,3.996439169139466,0.0,0.0,0.0,823.728,80.80799999999999,51.132,13.259951749889845,5.3290705182007515e-18
129,S5,no_TTI,1,0.7879757092059395,3.8053855569155446,0.0,0.0,0.0,852.192,74.616,46.392,12.77337229388994,-5.329070518200751e-17
130,S5,no_TTI,2,0.810355642469763,3.921367521367521,0.0,0.0,0.0,835.584,82.584,54.312,11.20591016958679,1.199040866595169e-17
131,S5,no_TTI,2,0.738234727101636,3.678167757287329,0.0,0.0,0.0,842.664,74.196,47.208000000000006,12.096329084905802,2.6645352591003758e-18
132,S5,no_TTI,3,0.7338262476894639,3.8681454097350585,0.0,0.0,0.0,834.552,75.336,47.736,13.308,0.0
133,S5,no_TTI,3,0.7876106194690266,3.934260429835651,0.0,0.0,0.0,837.9599999999999,74.68799999999999,46.944,12.792,0.0
134,S5,no_TTI,4,0.7272727272727273,3.7968273337400853,0.0,0.0,0.0,813.048,74.676,49.104,11.267999999999999,0.0
135,S5,no_TTI,4,0.744199535962877,3.7946635730858467,0.0,0.0,0.0,833.784,78.504,50.544000000000004,12.564,0.0
136,S5,symptom_based_TTI,1,0.7158740609248306,3.9982768523836874,517.284,76.176,89.508,2275.848,83.53200000000001,52.476,13.505184288141965,2.594774831016491
137,S5,symptom_based_TTI,1,0.6363270912989378,3.860781990521327,495.61199999999997,80.436,89.664,2061.4559999999997,78.204,53.112,10.62387561068525,1.5786828279634786
138,S5,symptom_based_TTI,2,0.6575104141062253,4.040803515379786,517.3679999999999,73.248,89.928,2277.504,77.244,48.852000000000004,13.184219389937205,2.6388115340081972
139,S5,symptom_based_TTI,2,0.6636809574732161,3.6739792809262646,483.4080000000001,76.76400000000001,88.704,2067.312,72.348,46.08,10.79396501707109,2.4048295683663437
140,S5,symptom_based_TTI,3,0.6415239075392004,3.893957345971564,498.13199999999995,73.176,89.316,2170.368,78.876,51.72,11.472000000000001,2.6892917288859612
141,S5,symptom_based_TTI,3,0.6227254134851393,3.876132930513595,538.476,82.08000000000001,90.05999999999999,2253.504,76.97999999999999,50.484,11.783999999999999,2.3446732881851315
142,S5,symptom_based_TTI,4,0.6348571428571429,3.9497142857142857,503.292,71.268,89.10000000000001,2137.2239999999997,82.944,55.476,11.783999999999999,2.352
143,S5,symptom_based_TTI,4,0.660024154589372,3.981280193236715,524.1479999999999,75.336,90.252,2279.04,79.116,49.956,12.995999999999999,3.048
144,S5,test_based_TTI,1,0.6680588465913146,3.6036299765807964,40.440000000000005,6.612,88.36800000000001,1283.952,73.86,48.660000000000004,10.443292897323188,1.064172982941238
145,S5,test_based_TTI,1,0.7512418531116114,3.7287822878228782,49.212,7.284,89.79599999999999,1383.912,72.756,45.443999999999996,11.457851061602804,1.1959179004834484
146,S5,test_based_TTI,2,0.647975451619823,3.857142857142857,53.748000000000005,8.136,88.548,1444.3439999999998,79.38,52.248000000000005,11.791820339173576,2.0048448664904788
147,S5,test_based_TTI,2,0.6553176554546142,3.7387657279808266,55.080000000000005,8.628,90.072,1479.048,74.88,47.315999999999995,12.535655796720675,1.9036421998343303
148,S5,test_based_TTI,3,0.7153471782853429,3.9440809042236764,61.644000000000005,8.411999999999999,89.892,1545.192,79.56,49.584,13.128,2.4180167196280866
149,S5,test_based_TTI,3,0.6490810306803769,3.9308478653036683,59.94,8.772,89.916,1512.096,78.44399999999999,50.4,12.636000000000001,2.454938951742415
150,S5,test_based_TTI,4,0.630828222925735,3.8379988088147705,65.328,8.964,90.21600000000001,1592.976,77.328,47.507999999999996,14.088000000000001,3.022072964492304
151,S5,test_based_TTI,4,0.6396471899474214,4.062157221206581,52.776,5.9159999999999995,89.48400000000001,1405.368,79.99199999999999,53.303999999999995,11.592,2.500067535555386
152,S5,test_based_TTI_test_contacts,1,0.8664592573398383,4.0997624703087885,65.088,8.736,141.576,945.8879999999999,82.848,50.772,13.001589853629893,1.565001474046653
153,S5,test_based_TTI_test_contacts,1,0.6837148570630026,3.9469026548672566,64.16399999999999,7.763999999999999,139.11599999999999,953.76,80.28,51.648,13.062294526004262,1.6629452813342787
154,S5,test_based_TTI_test_contacts,2,0.7782963213663452,3.8771393643031784,53.052,6.66,131.544,877.704,76.116,48.708,10.512164542452904,1.6163220764830117
155,S5,test_based_TTI_test_contacts,2,0.6997537460563107,4.047107930828861,57.684000000000005,7.715999999999999,135.492,962.928,81.444,51.96,13.315655796720675,2.0864998176421405
156,S5,test_based_TTI_test_contacts,3,0.6125028376256365,3.921603830041891,55.068,8.652,132.732,928.4159999999999,78.636,51.396,12.624,2.3340930999307496
157,S5,test_based_TTI_test_contacts,3,0.6864994106144189,3.9132775119617227,50.688,6.132,128.424,896.952,78.516,50.711999999999996,11.892,2.1380758254323182
158,S5,test_based_TTI_test_contacts,4,0.6772338523539161,4.187274909963985,55.992000000000004,9.66,134.184,913.6560000000001,83.712,55.104,12.264,2.804740823740518
159,S5,test_based_TTI_test_contacts,4,0.6391646784593519,3.8311057108140947,67.35600000000001,11.075999999999999,142.92000000000002,932.376,75.67200000000001,46.775999999999996,13.404,2.8672192710708884
