,strategy,gov_policy,app,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
149,S3,no_TTI,0.3,1.5579989796356823,3.796128251663642,0.0,0.0,0.0,826.056,75.3,22.872,21.52353223994659,-3.064215547965432e-17
150,S3,no_TTI,0.4,1.506009053830204,3.6108998732572877,0.0,0.0,0.0,824.976,68.37599999999999,21.096,18.76221255667125,0.0
151,S3,no_TTI,0.4,1.6226476813898545,3.9778310365488316,0.0,0.0,0.0,806.808,79.668,25.788,21.381612237123996,3.4638958368304884e-17
152,S3,no_TTI,0.5,1.5692347413409427,3.805043050430504,0.0,0.0,0.0,844.68,74.244,23.316,20.30909172695552,-1.4654943925052067e-17
153,S3,no_TTI,0.5,1.5685075767320897,3.8051713770294646,0.0,0.0,0.0,823.3679999999999,75.936,23.064,21.570862798734414,6.661338147750939e-18
154,S3,no_TTI,0.6,1.6479589443805736,4.029020556227327,0.0,0.0,0.0,802.0079999999999,79.968,25.044,22.215310871934367,-2.7977620220553945e-17
155,S3,no_TTI,0.6,1.5708765995920753,3.771191464137522,0.0,0.0,0.0,815.568,76.344,24.683999999999997,19.859174117858014,-1.199040866595169e-17
156,S3,no_TTI,0.7,1.556596545317437,3.753819036427732,0.0,0.0,0.0,828.744,76.668,23.196,21.68007215843665,6.661338147750939e-18
157,S3,no_TTI,0.7,1.560450196302581,3.820096269554753,0.0,0.0,0.0,843.384,76.188,23.412,21.654381284941312,2.9309887850104134e-17
158,S3,no_TTI,0.8,1.5790147071905194,3.9561998766193707,0.0,0.0,0.0,827.664,76.956,22.535999999999998,23.70500591573001,2.6645352591003756e-17
159,S3,no_TTI,0.8,1.6967727229583016,4.035021888680426,0.0,0.0,0.0,823.08,77.424,23.148,21.718324991876102,-6.661338147750939e-18
160,S3,no_TTI,0.9,1.4629138151749561,3.65319273579379,0.0,0.0,0.0,828.432,74.83200000000001,23.592,21.27367340995619,5.995204332975844e-17
161,S3,no_TTI,0.9,1.5868410846208627,3.9695704057279237,0.0,0.0,0.0,851.472,79.836,26.016,21.90545210610519,-1.9984014443252817e-17
162,S3,symptom_based_TTI,0.1,1.1661396055673208,3.7677496991576414,1356.204,16.056,89.568,4415.784000000001,75.14399999999999,24.888,21.61704489912183,5.381466807443546
163,S3,symptom_based_TTI,0.1,1.3602087043368918,3.8775629759812538,1365.804,16.067999999999998,89.712,4472.832,79.42800000000001,23.34,22.56189431807194,5.66359058229118
164,S3,symptom_based_TTI,0.2,1.2914166979938664,3.8668341708542715,1345.9560000000001,70.524,88.884,4210.008,73.872,23.747999999999998,20.51513486778907,4.93764053373611
165,S3,symptom_based_TTI,0.2,1.241380919198552,3.764218009478673,1397.6039999999998,65.544,90.444,4526.352,76.24799999999999,23.052,22.2785756028798,5.772012497834328
