,strategy,gov_policy,quarantine_length,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
94,S3,symptom_based_TTI,10,1.2810511880026267,3.8338296605122095,1267.812,183.38400000000001,89.592,3603.4320000000002,77.244,25.86,21.17063097620735,4.402749687915725
95,S3,symptom_based_TTI,10,1.2876560618272659,3.9442184776292852,1351.416,203.53199999999998,89.78399999999999,3903.96,81.45599999999999,25.5,23.43859232618718,5.924734684956135
96,S3,symptom_based_TTI,12,1.2583708086924936,4.060960591133005,1438.896,187.644,90.972,4586.352,79.14,24.708,23.035802923464008,6.873066756736686
97,S3,symptom_based_TTI,12,1.2609454479326174,3.718235294117647,1350.096,208.752,88.74000000000001,4221.4800000000005,75.852,23.964,20.329110322942682,5.835602539231907
98,S3,symptom_based_TTI,14,1.3348240211896625,4.087990487514864,1351.0439999999999,190.71599999999998,90.324,4463.928,82.512,25.991999999999997,24.408745431779515,5.169166524528341
99,S3,symptom_based_TTI,14,1.342734087177301,4.000592417061611,1350.3,194.37599999999998,89.028,4429.152,81.036,25.248,22.868981858307123,5.720596471829473
100,S3,test_based_TTI,6,1.3594378014284187,3.8870090634441086,139.92,18.444,90.864,1313.664,77.196,23.508,22.24220344360318,4.447361820028427
101,S3,test_based_TTI,6,1.3437670186900659,3.8814858490566038,159.348,21.408,90.3,1413.144,78.996,24.0,22.259815015350945,5.387838620268847
102,S3,test_based_TTI,8,1.411171960315895,3.9499691167387274,152.028,19.704,88.584,1649.76,76.74,23.376,21.352833077084792,4.594918077898014
103,S3,test_based_TTI,8,1.381264276503356,3.8873576992210905,141.036,19.872,88.944,1581.912,77.85600000000001,24.323999999999998,21.74893743085518,4.119101639335625
104,S3,test_based_TTI,10,1.2081716489249719,3.883062085593731,125.47200000000001,18.312,90.24,1758.2640000000001,77.304,27.612,21.573297247402422,4.066421565799279
105,S3,test_based_TTI,10,1.4408744648976732,4.261659600242277,147.78,22.716,89.49600000000001,1946.2560000000003,84.432,26.724,24.422509672276156,4.738885429171172
106,S3,test_based_TTI,12,1.3202139901710495,3.8986650485436893,132.552,18.048000000000002,89.928,2061.408,77.1,24.240000000000002,22.565885233678124,4.185562896699217
