,strategy,gov_policy,home_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
62,S1,test_based_TTI_test_contacts,0.2,1.9709028772172392,3.717023675310034,186.14399999999998,37.044,241.44,1170.48,79.128,0.0,30.97811337784541,6.1933061719539335
63,S1,test_based_TTI_test_contacts,0.2,1.9651198978275375,3.650328750747161,187.39200000000002,31.380000000000003,241.42799999999997,1161.7199999999998,73.284,0.0,27.970702772262417,5.861550158951883
64,S1,test_based_TTI_test_contacts,0.3,2.127967083911936,3.9448275862068964,174.29999999999998,32.22,232.668,1095.912,75.50399999999999,0.0,29.54964929909103,5.225060714834475
65,S1,test_based_TTI_test_contacts,0.3,2.0539937422480676,3.982673267326733,203.484,39.648,257.316,1163.784,77.232,0.0,31.240280271754774,6.160673078570636
66,S1,test_based_TTI_test_contacts,0.4,2.1430879939802505,4.116616314199396,181.476,26.916,236.34,1102.296,81.756,0.0,33.37874936649117,5.815523073060967
67,S1,test_based_TTI_test_contacts,0.4,2.083591316510052,3.9889908256880733,175.692,30.552,232.992,1092.432,78.264,0.0,31.52673038780758,5.857207982265171
68,S1,test_based_TTI_test_contacts,0.5,2.0085594712658263,3.934718100890208,175.644,30.852,231.88799999999998,1084.752,79.56,0.0,33.38708235343013,5.559845137574798
69,S1,test_based_TTI_test_contacts,0.5,2.2507880395908333,4.2507534659433395,180.276,34.739999999999995,236.004,1107.552,84.62400000000001,0.0,33.8973821608309,5.917929546994742
70,S1,test_based_TTI_test_contacts,0.6,2.1953490306852954,4.318727490996398,185.72400000000002,30.48,240.6,1110.6000000000001,86.34,0.0,36.74032391545846,5.710258263081064
71,S1,test_based_TTI_test_contacts,0.6,2.377239992420392,4.613246599645181,205.776,34.848,256.596,1130.9759999999999,93.612,0.0,38.9463238474727,6.426722226332587
72,S1,test_based_TTI_test_contacts,0.7,2.3899259369548678,4.572910311165344,177.948,28.343999999999998,232.60799999999998,1066.8719999999998,89.94000000000001,0.0,37.101290675639866,5.833645996331717
73,S1,test_based_TTI_test_contacts,0.7,2.514348605440199,4.844827586206897,203.016,35.064,255.156,1115.0880000000002,97.788,0.0,40.6440851700859,6.394302577709082
74,S1,test_based_TTI_test_contacts,0.8,2.447533553269936,4.734631771150335,174.444,29.651999999999997,230.68800000000002,1037.04,93.348,0.0,39.257309098777796,5.835119364952053
75,S1,test_based_TTI_test_contacts,0.8,2.583844953249506,4.875615763546798,178.896,31.332,233.412,1053.5520000000001,95.01599999999999,0.0,38.49916628946042,6.162863261613113
76,S1,test_based_TTI_test_contacts,0.9,2.5120242916737916,4.940800928612885,196.224,35.844,249.65999999999997,1076.184,102.15599999999999,0.0,43.67048155216052,6.546904193192171
77,S1,test_based_TTI_test_contacts,0.9,2.4812688036164574,4.823181549379066,172.464,35.424,229.632,1027.6319999999998,97.872,0.0,41.68102411902478,5.841069317989993
78,S1,test_based_TTI_test_contacts,1.0,2.6821376316184113,5.084403669724771,187.15200000000002,30.18,241.392,1034.1119999999999,99.756,0.0,41.19660870572744,5.935850961919236
79,S1,test_based_TTI_test_contacts,1.0,2.661987135546584,5.41186839012926,221.61599999999999,34.476,270.564,1119.552,110.53200000000001,0.0,49.389981975884616,6.773592767711826
80,S2,no_TTI,0.1,1.8108773047800573,3.525664811379097,0.0,0.0,0.0,839.928,68.412,7.896,25.37773677804777,1.3322676295501879e-18
81,S2,no_TTI,0.1,1.9192010119436924,3.4575,0.0,0.0,0.0,837.24,66.384,10.464,19.07134057068111,-1.199040866595169e-17
82,S2,no_TTI,0.2,2.002169506443184,3.7673846153846156,0.0,0.0,0.0,838.6560000000001,73.464,10.787999999999998,23.63369462435789,7.993605777301126e-18
83,S2,no_TTI,0.2,2.024232011247137,3.7447852760736198,0.0,0.0,0.0,825.552,73.248,9.228,24.42602186000598,-2.2648549702353192e-17
84,S2,no_TTI,0.3,1.958725158927922,3.7112299465240643,0.0,0.0,0.0,805.632,74.952,9.456,25.937586690291685,4.130029651605582e-17
85,S2,no_TTI,0.3,2.0688278754489944,3.750301568154403,0.0,0.0,0.0,795.816,74.616,8.916,24.53860059006679,-6.661338147750939e-18
86,S2,no_TTI,0.4,2.137587321942234,4.214069132807762,0.0,0.0,0.0,836.808,83.38799999999999,9.708,31.38142207340706,-2.6645352591003756e-17
87,S2,no_TTI,0.4,2.1874287693316714,4.058433734939759,0.0,0.0,0.0,819.24,80.844,9.66,27.610418914913094,-4.130029651605582e-17
88,S2,no_TTI,0.5,2.261642684101125,4.152284263959391,0.0,0.0,0.0,811.3439999999999,88.344,8.748000000000001,31.477290253064446,-1.0658141036401503e-17
89,S2,no_TTI,0.5,2.302516535455378,4.238680465717982,0.0,0.0,0.0,767.232,78.636,6.72,29.199713234231805,0.0
90,S2,no_TTI,0.6,2.1205373381525274,4.4049114791547685,0.0,0.0,0.0,784.3199999999999,92.556,10.74,37.2592694507391,1.5987211554602253e-17
91,S2,no_TTI,0.6,2.278948415239449,4.267119062307218,0.0,0.0,0.0,769.824,83.00399999999999,8.363999999999999,30.309895426762218,6.261657858885884e-17
92,S2,no_TTI,0.7,2.4101972373511997,4.824655894673848,0.0,0.0,0.0,773.328,96.744,11.244,37.17072499663373,1.199040866595169e-17
93,S2,no_TTI,0.7,2.2756236889571593,4.409652736904061,0.0,0.0,0.0,776.088,89.904,8.064,35.44458422954143,1.199040866595169e-17
94,S2,no_TTI,0.8,2.4300385287386264,4.839622641509434,0.0,0.0,0.0,749.832,98.496,9.72,39.319855863111464,6.394884621840901e-17
95,S2,no_TTI,0.8,2.4367349737847697,4.914803625377644,0.0,0.0,0.0,757.9440000000001,97.608,11.58,37.63444342063447,-6.394884621840901e-17
96,S2,no_TTI,0.9,2.5688848550686814,4.910820451843044,0.0,0.0,0.0,731.088,99.11999999999999,8.604,38.66562808529371,3.9968028886505634e-17
97,S2,no_TTI,0.9,2.5212237323468796,4.8174651303820495,0.0,0.0,0.0,731.04,95.328,9.048,36.39002478431993,2.7977620220553945e-17
98,S2,no_TTI,1.0,2.539839396540901,4.94853381208857,0.0,0.0,0.0,731.4,99.228,8.676,39.62314042056186,3.996802888650563e-18
99,S2,no_TTI,1.0,2.6260452784431334,5.366725248974809,0.0,0.0,0.0,733.032,109.932,12.564,43.57608851637089,1.865174681370263e-17
100,S2,symptom_based_TTI,0.1,1.3844758805105928,3.315347721822542,1740.2279999999998,280.86,89.316,5417.784000000001,66.36,9.144,22.468161543975935,7.036169231724047
101,S2,symptom_based_TTI,0.1,1.3960647040085226,3.2710336538461537,1649.988,262.272,89.83200000000001,5235.816,65.316,8.436,21.941595445532045,7.0617845448257714
102,S2,symptom_based_TTI,0.2,1.3751146563277388,3.5630407911001236,1720.32,271.836,89.976,5622.84,69.18,9.504000000000001,24.775966782741285,8.20080704999936
103,S2,symptom_based_TTI,0.2,1.5741267974922228,3.531547619047619,1669.1640000000002,259.776,87.972,5244.288,71.19600000000001,9.36,23.093537173381524,7.008066589175252
104,S2,symptom_based_TTI,0.3,1.65740475404935,3.912860576923077,1674.636,248.568,89.652,5443.392000000001,78.132,8.94,27.967724847992343,8.129217023150254
105,S2,symptom_based_TTI,0.3,1.5935089179019517,3.8171620863712845,1660.704,262.692,89.85600000000001,5419.296,81.672,11.916,28.03551556538423,7.625767627185605
106,S2,symptom_based_TTI,0.4,1.7126753621150657,3.9535603715170278,1638.72,262.596,90.67200000000001,5123.16,76.61999999999999,9.756,27.150451397592324,6.521900084617682
107,S2,symptom_based_TTI,0.4,1.646921917745247,3.8285547103569337,1636.0439999999999,266.148,88.92,5177.976,78.516,9.924,28.019031099225195,6.797894211655262
108,S2,symptom_based_TTI,0.5,1.9297090171838958,4.191399152029073,1695.804,256.608,90.264,5463.336,83.03999999999999,7.896,30.08149203284905,6.831112918703596
109,S2,symptom_based_TTI,0.5,1.9141000335257108,4.232077764277035,1672.3319999999999,267.216,89.916,5185.248,83.592,9.192,30.371716504434655,6.220979633365488
110,S2,symptom_based_TTI,0.6,1.8230317586064597,4.368600682593857,1666.212,261.264,89.84400000000001,5470.584,92.16,9.107999999999999,36.89152718145191,7.701794838986213
111,S2,symptom_based_TTI,0.6,1.8327651574205632,4.388646288209607,1597.92,247.608,89.988,5000.808,84.42,11.304,31.8665810521863,5.994348379671742
112,S2,symptom_based_TTI,0.7,1.8626990766926153,4.4763897190675435,1691.196,251.892,89.47200000000001,5432.784000000001,89.868,8.52,36.48323855712329,7.469214779195782
113,S2,symptom_based_TTI,0.7,2.0960744651999716,4.720142602495543,1680.72,266.31600000000003,88.60799999999999,5366.64,95.328,9.024000000000001,36.561766512329804,7.409913588491562
114,S2,symptom_based_TTI,0.8,2.085178957966348,4.771327014218009,1728.9479999999999,255.11999999999998,88.824,5464.487999999999,96.648,9.852,36.91569958750199,7.642915439931622
115,S2,symptom_based_TTI,0.8,2.0109620361449387,4.621364985163205,1736.868,262.152,88.98,5431.416,93.44399999999999,10.488000000000001,35.14089052040418,7.1534571087451715
116,S2,symptom_based_TTI,0.9,2.282001249993931,5.296163069544365,1679.8319999999999,255.552,89.48400000000001,5452.464,106.008,10.764,42.101568090110945,7.465894890010519
117,S2,symptom_based_TTI,0.9,2.145218072981733,4.9243746364165215,1639.8960000000002,263.94,89.664,5071.512,101.58,11.916,38.04019761591481,7.372243974617958
118,S2,symptom_based_TTI,1.0,2.327369787201153,5.191463414634146,1668.24,261.18,89.85600000000001,5320.248,102.168,9.0,39.49180282053185,7.873559767349397
119,S2,symptom_based_TTI,1.0,2.3615174312753,5.129505192425168,1733.4479999999999,265.668,89.43599999999999,5174.832,100.764,9.324,38.18378506537375,6.8665665146542505
120,S2,test_based_TTI,0.1,1.5401250623449934,3.5282674772036473,194.71200000000002,25.344,89.52,3079.152,69.648,10.559999999999999,22.412085075635755,6.273846193674025
121,S2,test_based_TTI,0.1,1.6269657597640135,3.4435912581216774,171.756,21.924,89.48400000000001,2823.288,69.96,8.616,23.075978633512293,5.214584991121965
122,S2,test_based_TTI,0.2,1.7621739952239344,3.711150652431791,174.60000000000002,25.092000000000002,89.34,2861.3759999999997,75.084,9.623999999999999,24.16446506974047,5.643230658888876
