,strategy,gov_policy,most_infectious_day,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
112,S4,test_based_TTI,1,1.7514638906961613,3.800260247234873,101.47200000000001,14.868,90.372,1987.3919999999998,70.092,34.379999999999995,3.0599999999999996,0.348
113,S4,test_based_TTI,1,1.6257594167679221,3.7478736330498177,89.78399999999999,13.296,89.148,1876.152,74.028,38.388000000000005,3.3480000000000003,0.18
114,S4,test_based_TTI,2,1.3307038834951457,3.6966019417475726,109.116,14.879999999999999,89.232,2080.344,73.104,35.232000000000006,8.604,2.952
115,S4,test_based_TTI,2,1.328632740649908,3.8424279583077867,96.36,15.576,89.22,1935.4800000000002,75.20400000000001,37.5,8.652,3.048
116,S4,test_based_TTI,3,1.1054523666866387,3.8094667465548233,104.76,11.604,90.132,2010.1200000000001,76.296,37.763999999999996,12.972,3.42
117,S4,test_based_TTI,3,1.1240446796002352,3.9012345679012346,99.804,11.232000000000001,88.332,1942.296,79.63199999999999,40.367999999999995,13.272,3.048
118,S4,test_based_TTI,4,0.9260843005497862,3.796579108124618,98.592,14.208,90.132,1929.024,74.58000000000001,35.46,17.808,3.1199999999999997
119,S4,test_based_TTI,4,0.9709697344039531,4.066090179122916,98.292,14.244,89.47200000000001,1913.9759999999999,78.996,39.132,18.695999999999998,2.304
120,S4,test_based_TTI_test_contacts,1,1.7406983400114482,4.021179164281626,106.44,17.844,168.66,1050.624,84.3,42.864000000000004,4.319999999999999,0.624
121,S4,test_based_TTI_test_contacts,1,1.7942612942612943,4.010989010989011,100.056,12.168000000000001,164.256,1011.48,78.84,39.455999999999996,3.7319999999999998,0.384
122,S4,test_based_TTI_test_contacts,2,1.3491686460807601,4.084323040380047,109.33200000000001,14.34,172.26,1024.536,82.536,43.116,8.748000000000001,3.4080000000000004
123,S4,test_based_TTI_test_contacts,2,1.3965102286401925,3.9711191335740073,109.188,14.304,171.46800000000002,1003.416,79.2,37.980000000000004,10.008000000000001,3.36
124,S4,test_based_TTI_test_contacts,3,1.0429850746268656,3.610746268656716,100.884,14.16,166.836,984.528,72.576,35.004000000000005,12.744,3.864
125,S4,test_based_TTI_test_contacts,3,1.0054911531421598,3.9310555216595486,101.844,16.62,168.93599999999998,993.7919999999999,77.316,38.808,14.496,4.236
126,S4,test_based_TTI_test_contacts,4,0.8543628374136849,3.7802887633396107,87.6,14.196,158.4,933.24,72.264,37.248000000000005,16.368,2.3160000000000003
127,S4,test_based_TTI_test_contacts,4,0.9927797833935018,4.1179302045728035,110.112,15.516,176.43599999999998,966.5999999999999,82.128,42.192,17.268,2.8680000000000003
128,S5,no_TTI,1,1.1306223043746149,4.032039433148491,0.0,0.0,0.0,834.648,78.52799999999999,52.956,3.552,0.0
129,S5,no_TTI,1,1.2501444251877527,3.902946273830156,0.0,0.0,0.0,883.8000000000001,81.072,50.736000000000004,4.368,0.0
130,S5,no_TTI,2,1.038968824940048,3.588129496402878,0.0,0.0,0.0,836.76,71.82000000000001,44.04,6.984,0.0
131,S5,no_TTI,2,1.0832342449464922,3.9292508917954816,0.0,0.0,0.0,837.336,79.308,49.344,8.100000000000001,0.0
132,S5,no_TTI,3,0.8517603458925262,3.8758492896849908,0.0,0.0,0.0,810.9359999999999,75.3,46.535999999999994,12.216000000000001,0.0
133,S5,no_TTI,3,0.8667474258025439,3.9812235009085404,0.0,0.0,0.0,802.728,78.876,51.18,10.524000000000001,0.0
134,S5,no_TTI,4,0.6989311163895487,3.827790973871734,0.0,0.0,0.0,798.624,77.35199999999999,51.0,12.228,0.0
135,S5,no_TTI,4,0.7272185824895772,3.911256700416915,0.0,0.0,0.0,798.912,78.80399999999999,51.168,12.984,0.0
