,strategy,gov_policy,gts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
90,S3,symptom_based_TTI,0.0,1.1879447942668304,3.8311298076923075,1207.866,174.426,89.77199999999999,4041.2520000000004,76.5,28.632,19.240425265254704,4.906693082825198
91,S3,symptom_based_TTI,0.0,1.1342358011868467,3.7645996387718244,1186.116,178.18800000000002,89.514,4005.4799999999996,75.036,27.630000000000003,19.887546194253638,4.910865816490116
92,S3,symptom_based_TTI,0.25,1.1454553286372198,3.7943413446912078,1281.072,187.386,89.544,4208.784,74.83200000000001,25.404,21.906390285533714,4.930939723083011
93,S3,symptom_based_TTI,0.25,1.2123977059752442,3.8832028898254065,1278.534,179.61599999999999,90.342,4310.0160000000005,77.4,26.004,21.31440281862895,5.91608610587245
94,S3,symptom_based_TTI,0.5,1.2921800440403228,3.9398315282791816,1332.96,191.916,89.592,4385.988,78.57600000000001,24.786,22.055295610182974,5.963465591476786
95,S3,symptom_based_TTI,0.5,1.3784846848676342,4.014182257091129,1397.718,204.31199999999998,89.52,4551.4439999999995,79.818,23.862,22.465519855032202,6.080690671059731
96,S3,symptom_based_TTI,0.75,1.3115339873291758,3.79477044694436,1455.93,220.734,89.292,4702.164,74.886,20.112,22.780008902591057,6.1121793914549425
97,S3,symptom_based_TTI,0.75,1.3413840388337517,3.959605026929982,1430.484,214.90200000000002,89.76,4695.828,79.398,23.67,22.342289157092292,6.488278096213306
98,S3,symptom_based_TTI,1.0,1.4078585752010386,3.9144620811287476,1493.088,209.61599999999999,88.95599999999999,4866.276,79.902,20.946,23.62215164135985,6.596639121636534
99,S3,symptom_based_TTI,1.0,1.3852053960366872,4.044997039668443,1503.636,220.836,89.76,4886.976000000001,81.98400000000001,23.796,23.546837006774307,6.565820026354106
100,S3,test_based_TTI,0.0,1.2477184734600755,3.861995104039168,117.45,17.573999999999998,89.68799999999999,2159.2200000000003,75.726,27.714,20.055832507469972,3.490903664924814
101,S3,test_based_TTI,0.0,1.2275506430380394,3.9600827912477823,128.748,20.1,90.36,2305.344,80.35799999999999,29.736,21.51890584127341,4.193636510198631
102,S3,test_based_TTI,0.25,1.3313816997053987,4.042143287176399,140.43599999999998,20.88,89.664,2431.068,80.568,27.168,22.186859424569818,4.676040536902127
103,S3,test_based_TTI,0.25,1.344668542675181,3.9768976897689767,139.698,20.598,89.934,2405.292,79.53,26.994,21.238009351788413,4.40730913179325
104,S3,test_based_TTI,0.5,1.3463818016264197,3.7435141509433962,131.63400000000001,19.902,89.142,2330.2200000000003,76.188,23.598,21.20738066065412,3.9810569126449598
105,S3,test_based_TTI,0.5,1.3705404169706192,3.808797653958944,135.29999999999998,21.378,89.364,2370.756,77.928,23.898,21.694362237644818,4.294380831136273
106,S3,test_based_TTI,0.75,1.4956154190898256,3.9498186215235793,147.552,22.194,89.262,2506.248,78.396,21.282,22.724193434464063,4.7048317274410545
107,S3,test_based_TTI,0.75,1.331143152531584,3.767732115677321,145.84199999999998,20.322,89.166,2497.212,74.262,21.36,22.098555918619375,4.56661254498305
108,S3,test_based_TTI,1.0,1.525991331415231,3.982850384387936,168.348,25.89,89.292,2762.664,80.82,20.142,24.352204579348562,5.360379323573581
109,S3,test_based_TTI,1.0,1.3873378093063211,3.8415430267062316,160.014,22.541999999999998,89.82000000000001,2654.04,77.676,20.952,23.754977687155474,4.917051808670666
110,S3,test_based_TTI_test_contacts,0.0,1.2040319668390447,3.763835454276413,120.72600000000001,15.258000000000001,184.2,1022.0640000000001,76.308,26.706,21.48303857654681,3.708417327758334
111,S3,test_based_TTI_test_contacts,0.0,1.2553097333831718,3.9586726998491706,132.018,20.814,194.946,1051.212,78.738,28.542,20.997866810818234,4.230022592190388
112,S3,test_based_TTI_test_contacts,0.25,1.3639409627323378,3.8967178560674496,126.68400000000001,18.785999999999998,190.374,1030.992,77.646,25.818,20.673603543926834,3.976508832668589
113,S3,test_based_TTI_test_contacts,0.25,1.3040992200766583,4.009557945041816,148.296,19.727999999999998,206.70600000000002,1065.936,80.544,27.87,21.880109288735675,4.5971455783643425
114,S3,test_based_TTI_test_contacts,0.5,1.4389181105429198,4.05762914302777,156.342,21.66,213.56400000000002,1077.5759999999998,81.534,25.65,22.12715408228552,4.84322540446503
115,S3,test_based_TTI_test_contacts,0.5,1.3865996452636549,3.893939393939394,141.48000000000002,22.494,201.03,1043.652,78.642,23.352,22.525578166684472,4.760655397570761
116,S3,test_based_TTI_test_contacts,0.75,1.3537058608272619,3.8552751596229857,148.434,20.43,207.93,1067.232,76.08,20.567999999999998,23.93185843197363,4.866110110461102
117,S3,test_based_TTI_test_contacts,0.75,1.5344885419422245,4.0,181.926,28.308,233.394,1120.7640000000001,82.2,20.892,24.02449484784322,5.74976561524402
118,S3,test_based_TTI_test_contacts,1.0,1.356989231652582,3.7752307234295923,161.34,22.164,217.194,1076.6640000000002,76.086,19.740000000000002,23.880707272848486,5.1165317524253116
119,S3,test_based_TTI_test_contacts,1.0,1.5151154019014017,3.916886157448054,163.82399999999998,26.46,217.968,1085.736,80.304,20.400000000000002,23.066553034083203,5.774550996134239
120,S4,no_TTI,0.0,1.1177929927623975,3.8326917382291974,0.0,0.0,0.0,828.2280000000001,77.658,38.88,16.129278380648284,-1.4654943925052067e-17
121,S4,no_TTI,0.0,1.1518972629424775,3.9361893349310964,0.0,0.0,0.0,821.7,78.834,39.744,16.019801617788048,-9.325873406851316e-18
122,S4,no_TTI,0.25,1.2032348255528182,3.8583717357910907,0.0,0.0,0.0,829.812,75.354,34.548,17.306823856953446,3.4638958368304884e-17
