,strategy,gov_policy,max_contacts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
44,S1,test_based_TTI,6,1.7802677301146779,3.618847539015606,166.632,25.355999999999998,89.136,2761.248,72.348,5.496,25.806994467570778,5.453893071976559
45,S1,test_based_TTI,6,1.7545571473524988,3.7281437125748504,162.972,26.1,90.108,2730.0719999999997,74.712,7.644000000000001,26.97101190911021,4.935662857945682
46,S1,test_based_TTI,8,1.8569940945765944,3.9686935580975318,165.768,29.148,89.78399999999999,2763.576,79.104,5.244000000000001,31.29304327292988,5.55335043396941
47,S1,test_based_TTI,8,1.8953793333897737,3.912759643916914,192.036,32.135999999999996,89.48400000000001,3093.936,79.116,4.728,29.811882963758464,6.2515469151002545
48,S1,test_based_TTI,10,1.8841278273128705,3.8307600950118763,173.364,25.668,88.152,2840.1839999999997,77.412,5.088,28.625103563894548,5.624441301766932
49,S1,test_based_TTI,10,1.8709878121558423,3.9433734939759035,163.716,28.092,89.172,2757.456,78.55199999999999,4.4399999999999995,31.117241737410886,5.724681044444695
50,S1,test_based_TTI,12,2.101273738433413,3.871386430678466,191.076,27.683999999999997,89.196,3050.64,78.744,3.948,26.373260442086085,5.682831718178199
51,S1,test_based_TTI,12,2.0856893463294175,4.261659600242277,203.904,31.752,89.49600000000001,3233.8559999999998,84.432,4.08,32.258509672276176,6.771812998245325
52,S1,test_based_TTI,14,1.9101041705426252,3.9804878048780488,189.636,31.428000000000004,89.664,3059.256,78.33600000000001,2.424,32.92184815265065,5.399301771070432
53,S1,test_based_TTI,14,1.9716316630129755,3.672582619339045,169.644,30.624,90.132,2802.48,72.012,2.34,25.576482857791063,5.4357634938504935
54,S1,test_based_TTI,16,1.8693490548045444,3.7469099470276634,187.656,30.78,89.568,3013.1040000000003,76.39200000000001,2.3280000000000003,30.033345890255422,5.918365580389483
55,S1,test_based_TTI,16,1.9748280282805473,3.8340530536705737,177.456,25.812,89.916,2872.824,74.58000000000001,1.824,28.555121761057617,5.786523432829121
56,S1,test_based_TTI,18,1.9121852242457262,3.952153110047847,200.076,32.916,89.304,3203.592,79.296,1.4040000000000001,32.65511243233996,6.8708032283936955
57,S1,test_based_TTI,18,1.9120168811525247,4.008891523414345,189.78,37.008,90.624,3088.704,81.156,2.004,33.51987202436571,6.9252582335825155
58,S1,test_based_TTI,20,2.037511561361684,3.985637342908438,196.38,34.704,89.976,3133.92,79.92,1.032,31.261499117489187,6.770319054086238
59,S1,test_based_TTI,20,2.0140252599074953,3.932630345635618,187.416,32.327999999999996,89.376,3032.208,80.556,2.52,30.81528104543915,5.965425530615678
60,S1,test_based_TTI_test_contacts,2,1.589611575943157,3.795820895522388,143.868,18.215999999999998,204.108,1067.256,76.296,15.096,25.13406568203144,4.114741641511068
61,S1,test_based_TTI_test_contacts,2,1.532217797082511,3.8393077873918418,160.68,26.604,218.916,1092.168,74.544,17.568,22.616587983336455,4.60987126850949
62,S1,test_based_TTI_test_contacts,4,1.7210875148749407,3.8340666247642994,156.312,24.54,216.408,1060.1039999999998,73.2,10.452,24.88491305263827,5.004084113369351
63,S1,test_based_TTI_test_contacts,4,1.6450650252161243,3.843675417661098,162.06,25.068,220.332,1096.536,77.304,10.956000000000001,28.06723012814949,5.195222084703789
64,S1,test_based_TTI_test_contacts,6,1.841630981781148,3.967116852613036,184.99200000000002,27.336,237.50400000000002,1125.288,81.072,8.196,29.125796881338808,6.114632374981602
65,S1,test_based_TTI_test_contacts,6,1.847058248468298,4.038370720188902,184.728,31.115999999999996,238.32,1142.136,82.092,8.568000000000001,29.814794271041364,6.162205654095036
66,S1,test_based_TTI_test_contacts,8,1.9060740516104817,4.040121580547113,186.948,25.152,239.112,1125.6000000000001,79.752,5.496,30.54411862913512,6.085979592073955
67,S1,test_based_TTI_test_contacts,8,1.7808916687905667,3.726051401869159,152.736,24.108,212.424,1076.088,76.548,6.912,28.123187466397876,4.926174089968665
68,S1,test_based_TTI_test_contacts,10,1.702602430889189,3.7354368932038833,166.79999999999998,32.424,226.116,1131.984,73.872,4.956,29.8107756982322,5.434558628503159
69,S1,test_based_TTI_test_contacts,10,1.8993499878057878,3.763157894736842,174.636,29.748,231.14399999999998,1105.296,73.788,4.86,26.28959511994006,5.395950319163994
70,S1,test_based_TTI_test_contacts,12,1.9604928893073301,3.8596176821983272,168.504,27.42,225.012,1097.184,77.532,2.4480000000000004,30.119379656278124,5.582239183316169
71,S1,test_based_TTI_test_contacts,12,1.9914781645744601,3.925748502994012,179.916,27.983999999999998,234.816,1128.192,78.672,2.82,30.32631842953563,5.616459152392181
72,S1,test_based_TTI_test_contacts,14,1.9733958764295731,3.948195576251455,183.576,29.4,237.52800000000002,1136.256,81.396,2.052,32.46769262111536,6.192777990412486
73,S1,test_based_TTI_test_contacts,14,1.9305318125876905,3.8145409735058533,174.096,23.712,230.952,1103.76,74.292,2.736,28.322036402722468,5.634926015319622
74,S1,test_based_TTI_test_contacts,16,2.1127406277724274,4.181600955794504,188.33999999999997,31.728,240.97200000000004,1144.9679999999998,84.0,2.664,32.18610201421697,6.709164255090429
75,S1,test_based_TTI_test_contacts,16,2.160376942246929,4.151629072681704,166.968,33.336,226.704,1091.256,79.512,3.576,28.435765676087982,6.124695125998746
76,S1,test_based_TTI_test_contacts,18,2.0658259235667513,3.9433849821215734,178.608,32.664,234.204,1134.9360000000001,79.404,3.036,28.634025884046387,6.13650331901345
77,S1,test_based_TTI_test_contacts,18,1.922860264003799,3.796772265391512,169.98000000000002,31.584,228.55200000000002,1118.088,76.224,2.544,29.281745301541907,5.79491203831777
78,S1,test_based_TTI_test_contacts,20,1.9030313023493284,3.8330373001776197,192.876,29.22,244.55999999999997,1131.816,77.688,1.296,31.78598963667262,6.03537192731115
79,S1,test_based_TTI_test_contacts,20,2.027879946439931,3.970798569725864,206.148,35.436,257.784,1171.2,79.956,1.884,30.74280643966715,6.495802958818332
80,S2,no_TTI,2,1.6443783576570148,3.992082825822168,0.0,0.0,0.0,813.048,78.66,23.832,22.427168840726157,5.195843755245732e-17
81,S2,no_TTI,2,1.5699230976085095,3.965476887068461,0.0,0.0,0.0,823.344,81.324,26.171999999999997,22.956017114244688,-1.0658141036401503e-17
82,S2,no_TTI,4,1.7055794185199284,3.7968843618933494,0.0,0.0,0.0,825.336,76.04400000000001,18.072000000000003,23.812655405882854,3.064215547965432e-17
83,S2,no_TTI,4,1.7495308911762202,4.029020556227327,0.0,0.0,0.0,802.0079999999999,79.968,20.843999999999998,24.399310871934368,-2.2648549702353192e-17
84,S2,no_TTI,6,1.7408697902757653,3.754364840457556,0.0,0.0,0.0,821.304,74.83200000000001,16.692,23.44098334022343,2.1316282072803006e-17
85,S2,no_TTI,6,1.7935018859197196,3.847323600973236,0.0,0.0,0.0,807.36,75.89999999999999,15.936,24.58179479457576,1.3322676295501879e-18
86,S2,no_TTI,8,1.9132967149071476,3.807715491259795,0.0,0.0,0.0,808.392,75.804,15.816,21.89808899962849,-9.325873406851316e-18
87,S2,no_TTI,8,1.9463888774604785,3.826596367896895,0.0,0.0,0.0,813.0,78.384,13.872,24.64217023409954,0.0
88,S2,no_TTI,10,1.9003204327666354,3.8673349056603774,0.0,0.0,0.0,831.48,78.708,12.516,27.516678552333424,-2.6645352591003756e-17
89,S2,no_TTI,10,1.9877388016357584,4.185051235684147,0.0,0.0,0.0,826.056,83.316,15.131999999999998,28.612095937035328,-1.4654943925052067e-17
90,S2,no_TTI,12,1.9553351408034882,4.1197141155449675,0.0,0.0,0.0,815.88,83.00399999999999,15.972,27.6359075830913,-3.996802888650563e-18
91,S2,no_TTI,12,1.8166016619817607,3.8673708920187795,0.0,0.0,0.0,825.312,79.08,13.356,28.578129215796945,2.9309887850104134e-17
92,S2,no_TTI,14,1.9229710223386092,3.8351001177856303,0.0,0.0,0.0,817.3679999999999,78.144,13.751999999999999,25.209542448828483,-1.5987211554602253e-17
93,S2,no_TTI,14,1.9858378833910029,3.8991696322657177,0.0,0.0,0.0,852.144,78.888,11.28,27.430527943233226,2.531308496145357e-17
94,S2,no_TTI,16,2.123104939754923,3.9376947040498442,0.0,0.0,0.0,798.48,75.84,12.180000000000001,22.76899886032019,-3.3306690738754695e-17
95,S2,no_TTI,16,1.9487514979306106,3.921208530805687,0.0,0.0,0.0,829.5120000000001,79.42800000000001,12.084,27.870089657917536,3.3306690738754695e-17
96,S2,no_TTI,18,1.984434050620288,3.9588059701492537,0.0,0.0,0.0,829.7040000000001,79.572,12.204,27.48087558253219,1.3322676295501879e-18
97,S2,no_TTI,18,1.8631736580031801,3.6191602602010646,0.0,0.0,0.0,814.3199999999999,73.44,10.812,24.82048013179946,2.6645352591003756e-17
98,S2,no_TTI,20,2.1054008300074294,4.024749558043607,0.0,0.0,0.0,831.768,81.96000000000001,10.236,28.849617497728687,-3.064215547965432e-17
99,S2,no_TTI,20,2.1528960309750302,4.0691711389385805,0.0,0.0,0.0,818.232,81.888,10.824,27.739120272658475,3.4638958368304884e-17
100,S2,symptom_based_TTI,2,1.265425136406952,3.6442953020134228,1233.864,207.132,89.556,4102.896000000001,71.676,22.991999999999997,18.6187589453588,5.176859471789273
101,S2,symptom_based_TTI,2,1.2463532215854891,3.735981308411215,1216.884,190.56,89.16,4121.808,76.752,24.528,21.582213131158852,5.036706284588861
102,S2,symptom_based_TTI,4,1.483139655830711,3.8704856787048567,1410.7559999999999,219.768,89.628,4634.352,74.592,18.324,21.442626947368996,6.24230560546155
103,S2,symptom_based_TTI,4,1.3823473488930993,3.8318318318318316,1378.8600000000001,213.756,89.616,4495.344,76.56,19.776,23.494801434010366,5.669898535105502
