,strategy,gov_policy,work_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
99,S3,symptom_based_TTI,0.5,7.7132170992511115,25.718235294117648,1392.096,200.112,90.3,4763.304,524.6519999999999,212.712,110.60989799643174,43.98047317884584
100,S3,test_based_TTI,0.1,2.138365368299371,6.435579196217494,142.44,22.752,89.556,2447.016,130.668,50.28,29.614756269265907,7.355873292783614
101,S3,test_based_TTI,0.1,2.032437777518866,6.351367781155015,129.12,23.004,89.03999999999999,2290.1760000000004,125.37599999999999,47.364,31.495941224610313,6.395737047167243
102,S3,test_based_TTI,0.2,3.0681310673059716,10.068904593639576,146.05200000000002,20.663999999999998,90.072,2523.96,205.164,83.592,47.035003876302234,12.020757496271306
103,S3,test_based_TTI,0.2,3.3540650013877045,11.38721136767318,140.244,22.5,90.744,2435.952,230.796,95.676,54.208945792798744,12.930864759075217
104,S3,test_based_TTI,0.3,4.885303491918357,15.663778162911612,146.976,18.204,88.656,2528.4959999999996,325.368,136.488,69.65937464524364,17.743101220628294
105,S3,test_based_TTI,0.3,4.882412445925668,15.675840978593271,140.68800000000002,17.759999999999998,89.664,2409.168,307.56,127.71600000000001,66.63223902464519,17.4188287862932
106,S3,test_based_TTI,0.4,6.577650001025605,21.902935889754342,162.24,23.148,90.036,2685.768,438.672,195.732,85.14828617327288,26.054539606186406
107,S3,test_based_TTI,0.4,6.761944882670483,21.151357596764875,148.788,21.648,89.196,2520.0719999999997,439.35600000000005,191.352,82.8993693680939,24.645511529075
108,S3,test_based_TTI,0.5,7.3861176041313525,23.681551116333726,150.35999999999999,22.092000000000002,89.448,2534.8799999999997,483.67199999999997,202.44,101.1711889731829,29.20674508003838
109,S3,test_based_TTI,0.5,7.074524273534604,25.71768292682927,151.308,22.236,90.05999999999999,2559.1440000000002,506.12399999999997,216.036,118.22110831417284,32.64025398266638
110,S3,test_based_TTI_test_contacts,0.1,2.1260816407654817,6.753945061367621,149.352,17.316000000000003,205.188,1097.9279999999999,138.672,53.424,33.15357291809588,8.441718833707114
111,S3,test_based_TTI_test_contacts,0.1,2.1135222030295235,6.629450814725407,148.344,28.056,204.912,1070.544,131.82,49.056,32.610895942236006,8.127828572724884
112,S3,test_based_TTI_test_contacts,0.2,3.681188486749361,11.13422007255139,142.85999999999999,21.108,196.38,1041.528,220.992,86.02799999999999,49.960513844560175,11.939257070438545
113,S3,test_based_TTI_test_contacts,0.2,3.5559659674856925,11.093215339233039,137.124,21.228,192.50400000000002,1052.832,225.63600000000002,89.748,52.326614951592475,11.233037269748584
114,S3,test_based_TTI_test_contacts,0.3,5.501435493600866,16.48661511005354,161.796,21.984,202.752,1090.08,332.568,123.66,76.00188455632862,21.931158666754747
115,S3,test_based_TTI_test_contacts,0.3,4.741917598700479,15.20036210018105,137.94,16.979999999999997,188.65200000000002,1040.352,302.24399999999997,124.596,67.18256233814135,16.177148129298292
116,S3,test_based_TTI_test_contacts,0.4,5.9915159954171076,20.0625,146.16,21.299999999999997,189.552,1055.568,392.904,164.208,87.95728246458025,23.40086828117117
117,S3,test_based_TTI_test_contacts,0.4,5.2162157638337305,19.81113662456946,145.62,21.828,189.732,1080.024,414.132,210.39600000000002,72.10741522148656,22.58881045133317
118,S3,test_based_TTI_test_contacts,0.5,7.257558373605612,23.980084490042245,137.94,16.979999999999997,180.096,1040.352,476.82,205.908,101.21456233814135,25.38814696108482
119,S3,test_based_TTI_test_contacts,0.5,7.836344972742484,27.330346475507767,152.07600000000002,17.988,187.404,1081.32,549.012,240.096,121.01748075849459,30.482021429054665
120,S4,no_TTI,0.1,1.8687036410283107,6.280588235294117,0.0,0.0,0.0,813.792,128.12400000000002,65.604,24.39844572302245,-6.661338147750939e-18
121,S4,no_TTI,0.1,1.7397119130823298,6.282021151586369,0.0,0.0,0.0,849.864,128.304,70.176,22.596123887206492,1.3322676295501879e-18
