,strategy,gov_policy,compliance,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
64,S2,test_based_TTI,0.7,1.936407116988136,3.3582179409993977,160.30800000000002,25.415999999999997,78.69600000000001,2284.752,66.93599999999999,0.8999999999999999,22.871829281345963,4.567704062846469
65,S2,test_based_TTI,0.7,1.8660351500152268,3.287752675386445,144.516,18.48,78.048,2142.48,66.36,0.552,24.648881256073892,3.4950652760186953
66,S2,test_based_TTI,0.8,1.5401324735460662,3.03955500618047,155.052,20.424,90.084,2647.824,59.016000000000005,1.02,23.024682898016266,5.068104995613299
67,S2,test_based_TTI,0.8,1.6556998573317867,3.204572803850782,170.196,21.312,88.36800000000001,2772.624,63.91199999999999,0.8999999999999999,24.565327869430426,5.425394175944408
68,S2,test_based_TTI,0.9,1.4344117076704639,3.3732833957553057,215.61599999999999,32.952,100.968,3812.352,64.848,0.408,29.374288821820944,7.490580509922081
69,S2,test_based_TTI,0.9,1.2523769017152606,3.1706276660572823,220.38,30.96,101.352,3892.0559999999996,62.436,0.324,29.641974573459926,7.808219477963203
70,S2,test_based_TTI_test_contacts,0.5,2.31600082222089,3.2289521502119927,96.684,13.836,103.896,500.592,63.972,0.576,15.628414069903723,1.8829776402559733
71,S2,test_based_TTI_test_contacts,0.5,2.0853150269545795,2.943045563549161,101.628,16.812,105.444,505.36800000000005,58.908,0.696,14.643163845788314,1.8291705746887728
72,S2,test_based_TTI_test_contacts,0.6,2.115950266178485,3.2262334536702766,133.728,19.836,144.432,705.7439999999999,64.344,0.576,18.67346888933772,2.8940190019985375
73,S2,test_based_TTI_test_contacts,0.6,2.0865689502876235,3.0818610129564195,120.22800000000001,18.791999999999998,136.632,693.0,62.796,0.444,17.04241875504741,2.793652313891931
74,S2,test_based_TTI_test_contacts,0.7,1.8764922931748067,3.1416909620991254,149.496,22.572,180.012,910.9680000000001,64.65599999999999,0.684,21.274708938772783,4.079079667689627
75,S2,test_based_TTI_test_contacts,0.7,1.7788886237666688,3.0754716981132075,151.212,21.36,183.456,930.0,60.635999999999996,0.5640000000000001,20.57609443278361,4.423337461032706
76,S2,test_based_TTI_test_contacts,0.8,1.5289903248023853,3.0433234421364985,160.872,24.023999999999997,215.61599999999999,1131.696,61.536,0.432,25.145656476322547,5.042159156173213
77,S2,test_based_TTI_test_contacts,0.8,1.566276094920198,3.2474837181764356,189.828,27.168,239.112,1170.456,65.82,0.156,27.815802973362707,6.102913134794674
78,S2,test_based_TTI_test_contacts,0.9,1.3230150061193424,3.309834123222749,205.73999999999998,34.392,284.544,1485.048,67.044,0.696,31.990892957926697,7.558115078119902
79,S2,test_based_TTI_test_contacts,0.9,1.2120749802551745,3.2607913669064748,216.912,28.152,291.87600000000003,1477.488,65.268,0.5399999999999999,32.55463269923961,7.912474495972862
80,S3,no_TTI,0.5,1.4631855261347095,2.980964467005076,0.0,0.0,0.0,394.776,56.376,19.308,9.39623532974037,-1.7319479184152442e-17
81,S3,no_TTI,0.5,1.5371216796723042,2.970446320868516,0.0,0.0,0.0,393.456,59.1,19.32,9.197427061239832,1.3322676295501878e-17
82,S3,no_TTI,0.6,1.4393632169259671,3.1228915662650603,0.0,0.0,0.0,548.64,62.208,19.62,13.915884718834727,7.993605777301126e-18
