,strategy,gov_policy,age_prob,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
116,S3,test_based_TTI_test_contacts,0.75,1.1652894628687933,3.3568414707655214,115.596,13.524,180.39600000000002,1055.1599999999999,66.82799999999999,21.048000000000002,19.05960655155427,3.521810821653816
117,S3,test_based_TTI_test_contacts,0.75,1.2100990246742416,3.252601156069364,106.908,16.740000000000002,174.0,1055.0639999999999,67.524,19.968,18.640322681671513,3.794021566091248
118,S3,test_based_TTI_test_contacts,1.0,0.9911285723512999,3.2262905162064826,110.7,15.072,174.372,1029.9119999999998,64.5,22.68,18.541676846351617,3.4636807352012178
119,S3,test_based_TTI_test_contacts,1.0,1.000773751734512,3.228739002932551,109.176,14.28,176.376,1060.968,66.06,22.259999999999998,20.078429942056815,3.24573909745508
120,S4,no_TTI,0.0,1.2662973157943507,4.01034692635423,0.0,0.0,0.0,808.8480000000001,79.06800000000001,36.336,17.76568212179858,2.531308496145357e-17
121,S4,no_TTI,0.0,1.2533297142919413,4.121137206427688,0.0,0.0,0.0,814.824,80.01599999999999,37.163999999999994,18.51735026730767,1.199040866595169e-17
122,S4,no_TTI,0.25,1.0721250472205892,3.984080188679245,0.0,0.0,0.0,830.208,81.084,43.391999999999996,15.872111038966565,-3.996802888650563e-18
123,S4,no_TTI,0.25,1.0121587129014473,3.7213496218731823,0.0,0.0,0.0,814.752,76.76400000000001,39.492,16.39319007026894,-1.865174681370263e-17
124,S4,no_TTI,0.5,0.8171162228429911,3.343101343101343,0.0,0.0,0.0,819.552,65.712,36.983999999999995,12.66676352379816,-3.4638958368304884e-17
125,S4,no_TTI,0.5,0.9515649186490219,3.5794780545670224,0.0,0.0,0.0,834.744,72.42,39.672,13.495938565892983,-3.996802888650563e-18
126,S4,no_TTI,0.75,0.6624432587977638,3.2365250475586556,0.0,0.0,0.0,871.2959999999999,61.248,38.016000000000005,10.695923770511119,2.1316282072803006e-17
127,S4,no_TTI,0.75,0.7122133689064732,3.323512080141426,0.0,0.0,0.0,871.9920000000001,67.67999999999999,41.687999999999995,11.488486955588582,1.199040866595169e-17
128,S4,no_TTI,1.0,0.5499476670864636,3.324644549763033,0.0,0.0,0.0,862.656,67.34400000000001,46.775999999999996,9.428260055496596,9.325873406851316e-18
129,S4,no_TTI,1.0,0.5302142530911107,3.147866744593805,0.0,0.0,0.0,892.7520000000001,64.63199999999999,44.519999999999996,9.22564095553332,4.263256414560601e-17
130,S4,symptom_based_TTI,0.0,1.1297143048382545,3.9734564339296017,1134.0120000000002,165.83999999999997,88.39200000000001,3826.8959999999997,82.632,35.147999999999996,18.81591493795215,5.174546378631523
131,S4,symptom_based_TTI,0.0,1.158318406932231,4.1928143712574855,1155.528,162.276,88.548,3869.952,84.024,36.876000000000005,19.313306195132245,4.62199292994586
132,S4,symptom_based_TTI,0.25,0.9224542850369954,3.775800711743772,907.668,122.904,89.532,3184.392,76.39200000000001,38.123999999999995,16.202449579029434,3.402455326102084
133,S4,symptom_based_TTI,0.25,0.8950811841247314,3.8972939729397296,881.9879999999999,118.332,89.47200000000001,3235.584,76.04400000000001,37.163999999999994,17.145964356517418,4.269211578840839
