,strategy,gov_policy,wfh,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
83,S3,no_TTI,0.25,1.764445048759396,3.8424408014571947,0.0,0.0,0.0,827.8919999999999,75.94200000000001,15.27,25.79950805631934,-6.661338147750939e-18
84,S3,no_TTI,0.5,1.460667253299431,3.870529116169081,0.0,0.0,0.0,820.476,78.564,27.696,21.219376092528158,-3.597122599785507e-17
85,S3,no_TTI,0.5,1.5058608968675442,3.8310852237890867,0.0,0.0,0.0,829.26,74.982,25.368000000000002,20.14129052650844,2.531308496145357e-17
86,S3,no_TTI,0.75,1.3017120317725164,4.000592066311427,0.0,0.0,0.0,826.26,81.084,36.042,18.65890054003464,3.26405569239796e-17
87,S3,no_TTI,0.75,1.2356597799493099,3.7879247572815533,0.0,0.0,0.0,819.6360000000001,74.91,32.85,17.62359219172244,7.327471962526034e-18
88,S3,no_TTI,1.0,0.9841992651265589,3.9147621988882024,0.0,0.0,0.0,823.512,76.056,42.024,14.910976677121207,2.6645352591003756e-17
89,S3,no_TTI,1.0,1.0040307921718963,3.822740524781341,0.0,0.0,0.0,820.644,78.672,42.425999999999995,15.583046297102364,-5.062616992290714e-17
90,S3,symptom_based_TTI,0.0,1.6505601958426404,3.9862234201856843,1798.23,257.346,89.136,5650.968,79.86,10.266,28.62595504368158,7.900721992806956
91,S3,symptom_based_TTI,0.0,1.6686817786123695,3.8917235241768022,1803.3239999999998,251.316,89.184,5671.704000000001,78.714,9.684,27.55065450183548,7.728587843950737
92,S3,symptom_based_TTI,0.25,1.5426368575399163,3.8853919239904986,1541.28,226.85399999999998,89.202,4952.088000000001,78.516,17.088,23.578292539520497,6.676101843312877
93,S3,symptom_based_TTI,0.25,1.4501229170320096,3.938920035408675,1546.1460000000002,223.74599999999998,89.634,4937.34,80.094,17.934,25.94003040369293,6.733170201378172
94,S3,symptom_based_TTI,0.5,1.2808630324671693,3.8651515151515152,1287.636,193.488,89.454,4242.755999999999,76.53,25.548000000000002,20.210027102320968,5.410884854829073
95,S3,symptom_based_TTI,0.5,1.1902410183316245,3.774914089347079,1266.666,190.872,88.23599999999999,4323.804,79.092,26.61,21.613362776367723,5.93070740754804
96,S3,symptom_based_TTI,0.75,1.0114788986755217,3.9860943168077387,1089.03,156.03,89.67,3729.54,79.116,36.042,18.60060922977136,4.3975575893168415
97,S3,symptom_based_TTI,0.75,1.0354295009347767,3.9199640287769784,1038.3359999999998,147.726,90.012,3678.228,78.462,33.762,18.96030943539364,5.0145336738958495
98,S3,symptom_based_TTI,1.0,0.8932803581038504,3.902892561983471,784.434,106.326,88.878,2905.0080000000003,79.33800000000001,42.624,15.108994545017726,3.446402335447171
99,S3,symptom_based_TTI,1.0,0.8380595602513796,3.873145625189222,793.1759999999999,105.768,89.83800000000001,2965.4759999999997,76.75800000000001,41.616,14.780354967137942,3.7529806678002027
100,S3,test_based_TTI,0.0,1.8115469311138683,3.8520531400966185,200.298,29.075999999999997,89.7,3122.172,76.548,7.104,27.14594886439955,6.298990520505626
101,S3,test_based_TTI,0.0,1.7484364898010996,3.9481090589270007,202.668,30.017999999999997,88.992,3159.576,80.802,9.33,29.444543969335612,6.243954830395036
102,S3,test_based_TTI,0.25,1.608960227545284,4.0014832393948385,177.618,26.676,88.788,2846.364,80.934,17.592000000000002,25.207123978919153,5.59204645874991
103,S3,test_based_TTI,0.25,1.5578412394597227,3.9759671746776086,172.818,23.94,90.024,2816.9519999999998,81.396,17.586000000000002,26.722100363134917,5.195773782645569
104,S3,test_based_TTI,0.5,1.305777462816512,3.8945809890435297,140.41199999999998,18.042,89.32799999999999,2423.568,78.91199999999999,26.291999999999998,22.030557749535692,4.131779298876101
105,S3,test_based_TTI,0.5,1.273927493151977,3.94791978449566,148.73399999999998,23.838,89.874,2538.276,79.14,26.772,22.034109446387482,4.796740025887883
106,S3,test_based_TTI,0.75,1.0347700967920739,3.7536916715888955,110.31,14.136000000000001,89.376,2087.6760000000004,76.25999999999999,33.954,18.03576045426801,3.2478502593041774
107,S3,test_based_TTI,0.75,1.1408437881411557,3.9746254967899723,116.358,18.516,89.85000000000001,2151.06,78.006,34.092,17.90750733175707,3.6162924821845444
108,S3,test_based_TTI,1.0,0.8735647646963488,3.802851076736427,81.438,11.82,89.592,1752.36,75.22800000000001,41.268,14.197416703899085,2.4817251208777207
109,S3,test_based_TTI,1.0,0.9163551089309608,4.018303312027891,86.592,12.468,89.262,1786.272,82.986,45.989999999999995,15.381758607666972,2.6896756826907473
110,S3,test_based_TTI_test_contacts,0.0,1.700436184031774,3.8819465304896363,195.792,28.439999999999998,244.76399999999998,1135.512,77.538,9.575999999999999,28.08816418313392,5.909323477015416
